years,estados unidos
1991-01-01,6.80000019073486
1992-01-01,7.5
1993-01-01,6.90000009536743
1994-01-01,6.11999988555908
1995-01-01,5.65000009536743
1996-01-01,5.44999980926514
1997-01-01,5.0
1998-01-01,4.51000022888184
1999-01-01,4.21999979019165
2000-01-01,3.99000000953674
2001-01-01,4.73000001907349
2002-01-01,5.78000020980835
2003-01-01,5.98999977111816
2004-01-01,5.53000020980835
2005-01-01,5.07999992370605
2006-01-01,4.61999988555908
2007-01-01,4.61999988555908
2008-01-01,5.78000020980835
2009-01-01,9.25
2010-01-01,9.63000011444092
2011-01-01,8.94999980926514
2012-01-01,8.06999969482422
2013-01-01,7.36999988555908
2014-01-01,6.17000007629395
2015-01-01,5.28000020980835
2016-01-01,4.86999988555908
2017-01-01,4.3600001335144
2018-01-01,3.90000009536743
2019-01-01,3.67000007629395
2020-01-01,8.05000019073486
2021-01-01,5.34999990463257
